HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
16208.988134686737,20070.82624420921,19831.20529453093,19585.48299877279,18761.669413154657,10885.576892564117,
16283.518346676428,20170.716624889297,19929.26018506425,19677.71705338626,18849.56245864191,10977.087582530297,
16359.946951051474,20270.606555158323,20028.1825096116,19774.47150336045,18939.95138370649,10965.622812670737,
16435.68540057946,20370.496129851723,20126.812459800156,19869.735211283398,19029.449934097527,10954.158042811177,
16510.471077031794,20470.385426356897,20224.995245064732,19962.671215849878,19117.692744758508,10942.693272951617,
16586.60805581187,20570.274508238013,20323.797425768877,20058.835530493907,19207.712369105106,10931.228503092058,
16675.930164996418,20670.168166365624,20417.91078577558,20157.522284035138,19306.970851507707,10919.763733232498,
16767.94903716255,20769.84777384282,20504.629160856,20253.88537435092,19406.923183865965,10908.298963372938,
16856.84666924392,20869.554170121788,20599.514671316017,20353.877288788684,19505.688858031193,10896.834193513378,
16942.056158090905,20969.419922424524,20698.445115829018,20453.836400437427,19602.668996328015,10885.369423653818,
17022.6884871203,21069.400610671153,20798.422426941856,20550.959873743817,19695.889437302474,10873.904653794258,
17103.73491281251,21169.399614416856,20898.419475717026,20650.040063199936,19790.02486527003,10966.721137215454,
17183.085173797677,21269.38464386517,20998.227855339,20745.856778166588,19882.072226232365,10955.256367355894,
17264.818913289928,21369.35982737121,21098.215823758073,20845.386237097493,19976.831019168774,10943.791597496334,
17359.214261812424,21469.330630725493,21172.147552622195,20938.428279567168,20076.623759074857,10932.326827636774,
17455.683090041413,21569.30862535954,21222.973480712746,21029.871718232283,20175.3682155955,10920.862057777214,
17551.42222109087,21669.267244091803,21284.092140681834,21110.89670953311,20274.19573796172,11014.250169830495,
17641.529399198193,21769.18525906476,21376.542274095165,21209.414854126346,20373.6964819625,11107.903490019922,
17725.879726427385,21869.052265206,21475.91996087156,21308.137517660165,20469.60275537675,11201.801239391649,
17808.79739606079,21968.87982526321,21575.75555357716,21406.540366210487,20564.591214130127,11295.85358977947,
17892.63949615333,22068.689215216156,21675.33384101873,21506.29319108718,20660.672029204452,11389.970401628641,
17975.801819107153,22168.498898599242,21775.11401364104,21605.352969552663,20756.035679797762,11484.086200923684,
18059.43700591845,22268.320697991512,21874.761493701437,21705.0226595881,20851.951037045834,11578.159388823502,
18141.612134465675,22368.16231664844,21974.714005733196,21802.92380063596,20946.34382480713,11672.159173432503,
